Restaurant_name,Category,Address,Province,Latitude,Longitude,Rating,Review,Answer,Score
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,4,"Busy place - strongly suggest a reservation. Great Happy Hour menu, good service. Fish was nicely prepared, and paella had lots of seafood in a very small portion.","Great Happy Hour menu, good service",0.31179598
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,4,"I recommend Squid is the best part. I ordered garlic bread to eat with Mussel dish was nice. Only the Risotto not impress, can put more flavour/texture is not reached. Overall is great!",Overall is great,0.106694885
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,5,"I really enjoyed my lunch at this cozy little place in beautiful Yaletown, Vancouver today!
They have a great selection on their menu and their lunch prices are reasonable. What really stood out for me was their warm, attentive and professional service. From the beginning to the end. The host made us feel very welcome and our server took very good care of us the whole time. Due to the winter wonderland feel and all the snow I felt I need to start things off with a nice cup of coffee. I loved the coffee. It was JJ Bean and piping hot and served in a sparkling cup.....exactly the way I like it.

We had the Pulled Pork Sandwich and the Chicken cutlets.
I loved the pulled pork, juicy and well seasoned with a nice crisp fresh ceasar salad and a slice of gherkin with the meal which was a nice touch. I love gherkins!

I also tried the Chicken cutlet which was beautifully cooked. Tender with the batter seasoned just on point and the mash was a perfect pairing.
""I MEAN WHO DOESN'T LIKE GREAT MASH?!""

Next time I'm going for the muscles! ;)",They have a great selection on their menu,0.079431958
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,5,"Ambiance is great with a great mixture of wood and metal, light and dark, hard and soft. To drink I had their homemade ginger beer which was tangy and a hint sweet. For dinner, I ordered the short rib with a side of the corn. Both were outstanding! The short rib was served with the bone marrow which was an interesting touch. I didn't care for the marrow alone, but when I added a little piece to the meat, it was a brilliant combination! The corn was superb too .... sweet, but spicy due to the jalapeños. Definitely fresh corn too because I had to pull a string from my teeth :-)  Would definitely recommend this place!

Check it out, Vancouver!",Ambiance is great with a great mixture of wood and metal,0.067338273
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,5,We went to the Flying Pig for dinner last night and were so impressed by the incredible food and service that we went again for dinner tonight. Whilst travelling through Canada for the past weeks this was most definitely the BEST meals we have had! The menu is outstanding and so is the quality of the food and drinks. Bailey was our server both nights and is an absolute delight. She was warm and genuine and has an excellent knowledge of the menu. Definitely a place we would highly recommend to everyone!,The menu is outstanding and so is the quality of the food and drinks,0.078333654
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,5,"During my 5-day stay in Vancouver, I couldn't resist visiting the lovely Japanese restaurant not once, but twice. Its authentic flavors, serene ambiance, and impeccable service left an indelible mark. A fusion of traditional and contemporary elements made it a standout experience in Vancouver's vibrant culinary scene.","authentic flavors, serene ambiance, and impeccable service",0.241088077
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,5,"The restaurant caught our attention when we walked by the restaurant around 11:50am - people were lining up for the restaurant to open at noon. We were lucky to get the bar seating. It’s not a huge restaurant and some tables were reserved for customers who made advanced reservations. We ordered hot green tea, Stone-Grilled Beef Tongue, Beef Tenderloin Steak Bowl, Sizzling Stone Pork Kakuni Bowl, and all of them were delicious! Great meat quality and well prepared dishes. It’s a restaurant running by Japanese with great foods and services. I highly recommend this place with advanced reservation.",Great meat quality,0.397712886
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,1,"It was my first time visiting the Japanese restaurant Kingyo, the food was absolutely good, and the service was no problem. Only one thing they limited table time to just one hour, my friends and I just had a quick drink, quick eating. Everything kinda super rushes, like eating fast food.",the food was absolutely good,0.401518971
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,2,Was excited to come due to good reviews however was very disappointed. It is definitely overrated. The food is so so. Pictures look good but not the taste. We spent about $200 3 adults and 1 kid. dinner menu is diff then lunch. A lot of food are not available during dinner. I wouldn’t want to come back enough said.,It is definitely overrated,0.454499274
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,4,We ordered four items as shown in the photos. The salad is the best. The sashimi is the second. The ramen was not bad. Just that the beef was a bit chewy. The pressed salmon sushi wasn’t very good. Too much rice and the rice was not fresh. The place was packed. Fun environment.,The salad is the best,0.226828352
