restaurant_name,price_range,rating,total_reviews,location,province
The Flying Pig,$$,4.0 ,1.3k,vancouver,BC
Kingyo,$$,4.4 ,1.1k,vancouver,BC
Miku,$$$,4.4 ,2.2k,vancouver,BC
Kosoo,$$,4.3 ,88,vancouver,BC
Dinesty Dumpling House,$$,3.9 ,928,vancouver,BC
Saku,$$,4.4 ,337,vancouver,BC
Guu with Garlic,$$,4.3 ,1k,vancouver,BC
Fable Kitchen,$$,4.3 ,764,vancouver,BC
Fanny Bay Oyster Bar & Shellfish Market,$$,4.4 ,749,vancouver,BC
Manoush’eh,$,4.8 ,228,vancouver,BC
Sula,$$,4.3 ,89,vancouver,BC
Phnom Penh,$$,4.2 ,1.6k,vancouver,BC
Saku,$$,4.3 ,214,vancouver,BC
Blue Water Cafe,$$$$,4.4 ,1.1k,vancouver,BC
Forage,$$,4.1 ,698,vancouver,BC
Anh and Chi,$$,3.9 ,618,vancouver,BC
Botanist,$$$,4.3 ,370,vancouver,BC
Twisted Fork,$$,4.2 ,1.1k,vancouver,BC
Happy Noodle House,$$,4.6 ,79,vancouver,BC
Lupo,$$$,4.3 ,436,vancouver,BC
Kishimoto Japanese Kitchen,$$$,4.4 ,512,vancouver,BC
Tendon Kohaku,$$,4.3 ,91,vancouver,BC
Raisu,$$,4.2 ,435,vancouver,BC
Hello Nori,$$,4.5 ,190,vancouver,BC
Ask For Luigi,$$,4.0 ,487,vancouver,BC
Chinatown BBQ,$$,4.5 ,260,vancouver,BC
Fritz European Fry House,$,4.2 ,807,vancouver,BC
Medina Cafe,$$,4.2 ,2.6k,vancouver,BC
Kokoro Tokyo Mazesoba,$$,4.1 ,447,vancouver,BC
Salmon n’ Bannock,$$,4.5 ,203,vancouver,BC
Hawkers Delight Deli,$,3.9 ,351,vancouver,BC
España Restaurant,$$,4.2 ,250,vancouver,BC
OEB Breakfast Co. Yaletown,$$,4.3 ,730,vancouver,BC
Joe Fortes Seafood & Chop House,$$$,4.0 ,1.2k,vancouver,BC
Chambar,$$$,4.2 ,1.5k,vancouver,BC
Jam Cafe on Beatty,$$,4.4 ,1.4k,vancouver,BC
Tavola,$$$,4.5 ,363,vancouver,BC
Nobi Nobi,$$,4.5 ,38,vancouver,BC
Rodney’s Oyster House,$$,4.0 ,818,vancouver,BC
Nightingale,$$$,4.1 ,471,vancouver,BC
The Mexican Antojitos Y Cantina,$$,4.3 ,402,vancouver,BC
Linh Cafe,$$,3.9 ,299,vancouver,BC
Maenam,$$,3.9 ,380,vancouver,BC
Lunch Lady,$$,4.0 ,197,vancouver,BC
Jingle Bao,$$,4.1 ,152,vancouver,BC
Shiok Singapore Cuisine,$$,3.8 ,102,vancouver,BC
